Timestamp,Open,High,Low,Close,Volume,Close_time,Quote_av,Trades,Tb_base_av,Tb_quote_av,Ignore
2020-08-21,0.5397,0.5397,0.401,0.4314,2884153.28,1598054399999.0,1310914.069227,4961.0,1025412.05,463787.653919,0.0
2020-08-22,0.4317,0.4987,0.412,0.4712,4198278.44,1598140799999.0,1884510.775776,6160.0,2164357.97,976460.091097,0.0
2020-08-23,0.469,0.494,0.4523,0.4821,10755011.03,1598227199999.0,5093427.513301,6995.0,5574173.47,2680189.894097,0.0
2020-08-24,0.4821,0.5334,0.4792,0.5315,2243774.75,1598313599999.0,1122574.251454,5012.0,953020.16,477250.506554,0.0
2020-08-25,0.5323,0.5324,0.4478,0.4619,2608675.14,1598399999999.0,1260367.040153,4474.0,1445308.64,694302.472961,0.0
2020-08-26,0.4619,0.4983,0.4603,0.498,1831323.23,1598486399999.0,873545.693126,3152.0,888777.81,424929.477593,0.0
2020-08-27,0.4983,0.5182,0.4701,0.5046,3018123.53,1598572799999.0,1495515.884974,5008.0,1485716.19,737346.327307,0.0
2020-08-28,0.5033,0.57,0.5017,0.5662,3694034.11,1598659199999.0,1966380.494229,7169.0,1687303.88,899340.577451,0.0
2020-08-29,0.5662,0.5691,0.5165,0.538,2172028.16,1598745599999.0,1171935.675337,4236.0,1020352.77,551243.102072,0.0
2020-08-30,0.538,0.563,0.5222,0.5326,2697793.49,1598831999999.0,1461342.406018,5548.0,1209966.99,655942.680959,0.0
2020-08-31,0.5333,0.535,0.5078,0.5097,2704706.1,1598918399999.0,1404770.114071,4296.0,1056091.25,548323.930121,0.0
2020-09-01,0.5105,0.5106,0.4745,0.4808,3953475.68,1599004799999.0,1919272.454358,7381.0,2042538.58,991713.298459,0.0
2020-09-02,0.4806,0.4814,0.4185,0.4428,3695631.01,1599091199999.0,1662167.349012,7733.0,1894118.29,847712.608091,0.0
2020-09-03,0.4428,0.45,0.37,0.3778,4072613.69,1599177599999.0,1731063.57294,8085.0,1690356.61,720734.093262,0.0
2020-09-04,0.3748,0.3813,0.3598,0.3685,3338968.01,1599263999999.0,1241528.253544,4976.0,1709455.86,635463.806648,0.0
2020-09-05,0.3689,0.3777,0.3183,0.3264,2996620.05,1599350399999.0,1040369.085509,5978.0,1520559.82,520557.164439,0.0
2020-09-06,0.3261,0.3363,0.3104,0.3325,3122558.17,1599436799999.0,1022885.384998,6651.0,1649462.76,540142.054415,0.0
2020-09-07,0.3325,0.3378,0.3071,0.3257,2699267.69,1599523199999.0,876587.401623,5522.0,1227070.59,398611.450257,0.0
2020-09-08,0.3258,0.3287,0.3078,0.3165,2027110.78,1599609599999.0,650648.602297,5463.0,1019872.64,328158.019261,0.0
2020-09-09,0.3162,0.3291,0.3084,0.3167,1831995.91,1599695999999.0,584083.227945,4390.0,1156269.11,367768.352298,0.0
2020-09-10,0.3167,0.3868,0.3163,0.3498,4329407.69,1599782399999.0,1508722.516751,12537.0,2345047.22,810609.026773,0.0
2020-09-11,0.3497,0.357,0.3141,0.3384,4030025.95,1599868799999.0,1370120.003404,10968.0,2116659.96,717674.945666,0.0
2020-09-12,0.3383,0.3391,0.318,0.3294,5214097.92,1599955199999.0,1701568.57561,10686.0,3405213.08,1112063.061074,0.0
2020-09-13,0.3291,0.3483,0.3001,0.3088,3657468.6,1600041599999.0,1197797.817983,11255.0,1595826.38,523565.520337,0.0
2020-09-14,0.3087,0.3247,0.3061,0.3194,1786079.78,1600127999999.0,564606.955316,7696.0,890621.73,281686.888113,0.0
2020-09-15,0.3193,0.355,0.3053,0.335,6603185.34,1600214399999.0,2182862.773578,19968.0,3249615.95,1073777.251251,0.0
2020-09-16,0.3345,0.3612,0.3183,0.3206,6922022.93,1600300799999.0,2356328.224598,22330.0,3001227.89,1021741.618251,0.0
